Time,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Tri11,Tri12,Tri13,Tri21,Tri22,Tri23,Lat,Lon,Alt,SunVect,MagVect,MagRef,SunRef,Roll,Pitch,Yaw,static_q,dynamic_q
1717188577.904482,-1.6266666666666667,-1.9866666666666668,37.906666666666666,-0.9756097560975611,-1.0365853658536586,-0.48780487804878053,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04281431 -0.05228961 -0.99771375],0,0,0.0,0.0,-0.0,[0 0 0 1],[ 0.00510669  0.01882059 -0.02492126  0.99949919]
1717188577.9287536,-1.8533333333333335,-2.16,37.92,-1.3414634146341464,0.0,0.6707317073170732,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04873774 -0.05680225 -0.99719513],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.01139459  0.00225921 -0.02902024  0.99951132]
1717188577.955937,-1.84,-2.2133333333333334,37.92,-1.6463414634146343,0.5487804878048781,0.6097560975609757,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.01466275659824047,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04838403 -0.05820108 -0.9971317 ],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.01262514 -0.00988969 -0.03497097  0.99925964]
1717188577.9824395,-1.8666666666666667,-2.146666666666667,37.92,-0.7317073170731708,-0.5487804878048781,-0.30487804878048785,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.0490885  -0.05645178 -0.99719783],0,0,0.0,0.0,-0.0,[0 0 0 1],[ 0.00345001  0.00935084 -0.01887006  0.99977226]
1717188578.0094237,-1.8933333333333335,-2.1733333333333333,37.93333333333334,-1.4634146341463417,-0.426829268292683,0.1829268292682927,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.01466275659824047,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04976866 -0.05712881 -0.99712556],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00283452  0.00919733 -0.03024866  0.99949607]
1717188578.0367706,-1.8266666666666669,-2.2133333333333334,37.906666666666666,-1.6463414634146343,-0.06097560975609757,0.6707317073170732,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.01466275659824047,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04805103 -0.05822242 -0.99714655],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.01268024  0.00215906 -0.03516937  0.99929859]
1717188578.0645022,-1.8933333333333335,-2.146666666666667,37.88,-1.829268292682927,0.1829268292682927,0.3658536585365854,0.017595307917888565,0.017595307917888565,0.020527859237536656,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.04984032 -0.05650909 -0.99715729],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.00842678 -0.00290757 -0.03914013  0.99919397]
1717188578.0915701,-1.8800000000000001,-1.8933333333333335,37.94666666666667,-0.9146341463414634,-0.06097560975609757,0.0,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.01466275659824047,0.01466275659824047,42.3,-83.7,0.3,[0 0 1],[-0.0494212  -0.0497717  -0.99753713],0,0,0.0,0.0,-0.0,[0 0 0 1],[-1.31845721e-03  8.81915263e-04 -2.30292069e-02  9.99733534e-01]
1717188578.1184623,-1.9066666666666667,-1.8266666666666669,37.89333333333334,-1.6463414634146343,0.24390243902439027,0.6097560975609757,0.017595307917888565,0.017595307917888565,0.017595307917888565,0.02346041055718475,0.011730205278592375,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.05019496 -0.04808888 -0.99758104],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.01144339 -0.00465087 -0.03404751  0.99934388]
1717188578.1456027,-1.9066666666666667,-1.7333333333333334,37.93333333333334,-1.7682926829268295,0.24390243902439027,0.6707317073170732,0.017595307917888565,0.01466275659824047,0.020527859237536656,0.02346041055718475,0.01466275659824047,0.017595307917888565,42.3,-83.7,0.3,[0 0 1],[-0.05014805 -0.04558914 -0.99770076],0,0,0.0,0.0,-0.0,[0 0 0 1],[-0.01411019 -0.00524962 -0.03774914  0.99917383]
